date,G,Dpub,S,slots,shed,T2M,RH2M,T2M_MAX,trend,cdd,cdd2,cdd_rh,tmax,sin1,cos1,sin2,cos2,weekend,dow1,dow2,dow3,dow4,dow5,dow6,covid,gdp_growth,log_gdp
2023-10-28,239712.5,239720.5,7.5,24,True,24.10541840106813,78.5361367906575,28.931829353020426,8.525667351129364,6.105418401068128,37.2761338521013,4.794959747104839,28.931829353020426,-0.8935790198239952,0.4489059314938798,-0.8022658445149573,-0.5969669293392242,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.77511237007889,26.501784586080163
2023-10-29,243147.5,243147.5,0.0,24,False,23.797336684327856,77.15894383257915,28.73228934951638,8.528405201916495,5.797336684327856,33.6091126314535,4.473163756046037,28.73228934951638,-0.8857249183835637,0.4642104791518923,-0.8223255775192096,-0.5690172620911411,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.77511237007889,26.501784586080163
2023-10-30,244870.5,244870.5,0.0,24,False,24.78509548521958,77.40171257166676,29.204372745781555,8.531143052703628,6.785095485219578,46.037520743547105,5.251780105182796,29.204372745781555,-0.8776087166898392,0.4793776594606945,-0.8414120250581577,-0.5403941192199728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.77511237007889,26.501784586080163
2023-10-31,251472.0,251472.0,0.0,24,False,25.19921551687681,78.7948622245851,29.50381294442465,8.53388090349076,7.199215516876809,51.82870405843981,5.672611947774033,29.50381294442465,-0.8692328164574792,0.49440298420761813,-0.8595025968555411,-0.5111313784132033,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.77511237007889,26.501784586080163
2023-11-01,256465.0,257515.5,1003.0,24,True,25.179978492414946,79.19839351630891,30.171858835328024,8.536618754277892,7.179978492414946,51.552091151541205,5.686427620809134,30.171858835328024,-0.8605996962501181,0.5092820071573356,-0.876575881330507,-0.4812636743715911,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.77511237007889,26.501784586080163
2023-11-02,259213.5,260987.5,1694.0,24,True,25.131619533237078,81.21569600599314,29.727891471275896,8.539356605065024,7.131619533237078,50.85999716684864,5.791994440417852,29.727891471275896,-0.8517119107469189,0.5240103253675756,-0.8926116709398649,-0.45082635781633507,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.77511237007889,26.501784586080163
2023-11-03,239199.0,239397.0,190.0,24,True,25.07193308482809,80.15006156244148,28.838905831817936,8.542094455852157,7.071933084828089,50.01223755628613,5.66815872114438,28.838905831817936,-0.8425720899866032,0.5385835804920232,-0.9075909860952637,-0.4198554536487849,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.77511237007889,26.501784586080163
2023-11-04,245294.5,245495.0,191.0,24,True,25.28410257184802,76.63066884964627,29.37010735668155,8.544832306639288,7.28410257184802,53.05815027720294,5.5818565205014234,29.37010735668155,-0.8331829385891785,0.5529974600700271,-0.9214960976269942,-0.3883876183121974,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.77511237007889,26.501784586080163
2023-11-05,249019.5,249656.5,608.0,24,True,24.446935954519915,79.63197670414385,28.701621828990536,8.54757015742642,6.446935954519915,41.56298320168161,5.133822537434373,28.701621828990536,-0.8235472349556007,0.5672476988027229,-0.9343105477678197,-0.3564600964060307,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.77511237007889,26.501784586080163
2023-11-06,240345.5,240820.5,455.0,24,True,23.167534300369134,80.35376817723217,28.241859439473664,8.550308008213552,5.167534300369134,26.703410745491514,4.15230853219757,28.241859439473664,-0.8136678304455991,0.5813300798152042,-0.9460191696320084,-0.32411067660409654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.77511237007889,26.501784586080163
